iter	Passed	Remaining
0	1	1841
1	3	1735
2	5	1699
3	6	1703
4	8	1666
5	9	1645
6	11	1608
7	13	1622
8	14	1638
9	16	1613
10	17	1585
11	19	1570
12	20	1564
13	22	1551
14	23	1535
15	24	1520
16	26	1507
17	27	1516
18	29	1522
19	30	1515
20	32	1507
21	33	1508
22	35	1503
23	36	1498
24	38	1489
25	39	1480
26	40	1472
27	42	1478
28	44	1480
29	45	1476
30	46	1468
31	48	1475
32	50	1475
33	51	1469
34	53	1462
35	54	1455
36	55	1449
37	57	1455
38	59	1459
39	60	1454
40	62	1450
41	63	1451
42	65	1456
43	67	1458
44	68	1456
45	70	1451
46	71	1447
47	73	1452
48	74	1450
49	76	1449
50	77	1451
51	79	1450
52	81	1448
53	82	1443
54	83	1439
55	85	1434
56	87	1439
57	88	1440
58	90	1437
59	91	1437
60	93	1435
61	94	1431
62	96	1428
63	97	1424
64	98	1419
65	100	1416
66	101	1418
67	103	1419
68	105	1419
69	106	1419
70	108	1416
71	109	1412
72	110	1409
73	112	1404
74	113	1400
75	114	1397
76	116	1397
77	118	1397
78	119	1398
79	121	1394
80	122	1390
81	123	1386
82	124	1376
83	125	1373
84	127	1369
85	128	1366
86	129	1363
87	131	1366
88	133	1366
89	134	1363
90	136	1360
91	137	1358
92	138	1354
93	140	1351
94	141	1349
95	142	1346
96	144	1342
97	146	1344
98	147	1345
99	149	1345
100	150	1342
101	152	1339
102	153	1336
103	154	1333
104	156	1330
105	157	1327
106	158	1325
107	160	1328
108	163	1333
109	164	1331
110	165	1328
111	167	1326
112	168	1323
113	169	1320
114	171	1318
115	172	1315
116	173	1313
117	175	1313
118	177	1313
119	178	1311
120	180	1309
121	181	1305
122	182	1303
123	184	1300
124	185	1298
125	187	1297
126	188	1294
127	189	1292
128	191	1294
129	193	1292
130	194	1290
131	195	1288
132	197	1285
133	198	1282
134	199	1280
135	201	1279
136	202	1277
137	204	1275
138	205	1276
139	207	1274
140	208	1272
141	209	1267
142	211	1265
143	212	1263
144	213	1260
145	215	1259
146	216	1257
147	217	1254
148	219	1255
149	221	1255
150	222	1253
151	224	1250
152	225	1248
153	226	1245
154	228	1243
155	229	1242
156	231	1240
157	232	1238
158	233	1236
159	235	1237
160	236	1233
161	238	1232
162	239	1230
163	240	1228
164	242	1225
165	243	1225
166	245	1223
167	246	1221
168	248	1220
169	250	1220
170	252	1221
171	253	1220
172	254	1218
173	256	1216
174	257	1215
175	259	1213
176	260	1210
177	261	1208
178	263	1206
179	264	1206
180	266	1205
181	268	1204
182	269	1202
183	270	1200
184	272	1199
185	273	1197
186	274	1195
187	276	1193
188	277	1191
189	279	1190
190	281	1190
191	282	1189
192	283	1187
193	285	1185
194	287	1185
195	288	1183
196	289	1181
197	291	1180
198	292	1178
199	294	1177
200	295	1176
201	297	1175
202	298	1173
203	300	1173
204	302	1172
205	304	1172
206	305	1170
207	307	1170
208	309	1169
209	310	1169
210	312	1167
211	314	1167
212	315	1167
213	322	1184
214	324	1185
215	326	1183
216	327	1181
217	328	1179
218	330	1177
219	331	1175
220	332	1173
221	334	1171
222	335	1169
223	336	1167
224	338	1165
225	340	1165
226	341	1163
227	343	1162
228	344	1160
229	345	1158
230	347	1156
231	348	1154
232	350	1152
233	351	1150
234	352	1148
235	354	1147
236	355	1146
237	357	1144
238	358	1142
239	360	1140
240	361	1138
241	362	1135
242	363	1133
243	365	1131
244	366	1129
245	368	1128
246	369	1127
247	371	1126
248	373	1127
249	375	1125
250	376	1123
251	377	1121
252	379	1119
253	380	1117
254	381	1115
255	383	1115
256	385	1113
257	386	1111
258	387	1109
259	389	1107
260	390	1106
261	392	1104
262	393	1102
263	394	1100
264	396	1098
265	397	1096
266	398	1095
267	400	1093
268	401	1091
269	402	1089
270	404	1087
271	405	1085
272	406	1083
273	408	1081
274	409	1079
275	411	1078
276	412	1077
277	414	1077
278	416	1076
279	417	1074
280	419	1072
281	420	1070
282	421	1069
283	423	1067
284	424	1066
285	427	1067
286	429	1067
287	431	1065
288	432	1064
289	434	1063
290	435	1061
291	437	1059
292	438	1057
293	439	1056
294	441	1054
295	443	1053
296	444	1052
297	445	1050
298	447	1048
299	448	1046
300	450	1045
301	451	1043
302	452	1041
303	454	1040
304	455	1038
305	457	1037
306	458	1035
307	460	1034
308	461	1032
309	462	1030
310	464	1028
311	465	1026
312	467	1025
313	468	1024
314	470	1022
315	471	1021
316	473	1020
317	474	1018
318	476	1016
319	477	1014
320	478	1012
321	480	1010
322	481	1009
323	483	1008
324	484	1006
325	485	1004
326	487	1004
327	489	1002
328	490	1000
329	492	999
330	493	997
331	494	995
332	496	993
333	497	991
334	498	990
335	500	988
336	501	986
337	503	985
338	504	984
339	506	982
340	507	980
341	508	978
342	510	976
343	511	975
344	512	973
345	514	971
346	515	970
347	517	969
348	518	967
349	520	965
350	521	963
351	522	962
352	524	960
353	525	959
354	527	957
355	528	955
356	529	954
357	531	953
358	533	951
359	534	950
360	535	948
361	537	946
362	538	945
363	540	943
364	541	942
365	542	940
366	544	938
367	545	937
368	547	936
369	549	934
370	550	933
371	551	931
372	553	930
373	554	928
374	556	926
375	557	924
376	558	923
377	560	921
378	562	920
379	563	919
380	564	917
381	566	916
382	568	915
383	569	913
384	570	911
385	572	910
386	573	908
387	575	907
388	576	906
389	578	904
390	579	902
391	581	901
392	582	899
393	583	897
394	585	896
395	586	894
396	587	892
397	589	891
398	591	890
399	592	888
400	593	887
401	595	885
402	596	884
403	598	882
404	599	881
405	601	879
406	602	877
407	603	876
408	605	874
409	607	873
410	608	872
411	610	870
412	611	869
413	612	867
414	614	865
415	615	864
416	616	862
417	618	860
418	619	859
419	622	859
420	623	858
421	625	856
422	626	854
423	628	853
424	629	852
425	631	850
426	632	848
427	634	847
428	635	846
429	637	845
430	639	843
431	640	842
432	642	841
433	644	839
434	645	838
435	647	837
436	648	835
437	650	835
438	652	833
439	654	832
440	655	830
441	656	829
442	658	827
443	659	826
444	661	824
445	662	822
446	663	821
447	665	820
448	667	819
449	668	817
450	670	815
451	671	814
452	672	812
453	674	810
454	675	809
455	676	807
456	678	805
457	679	804
458	681	803
459	682	801
460	684	799
461	685	798
462	686	796
463	688	794
464	689	793
465	690	791
466	692	789
467	693	788
468	695	787
469	697	786
470	698	784
471	699	782
472	701	781
473	702	779
474	703	777
475	704	775
476	706	774
477	707	772
478	709	772
479	711	770
480	712	769
481	714	767
482	715	765
483	716	764
484	718	762
485	719	761
486	720	759
487	723	758
488	727	759
489	729	758
490	730	757
491	732	755
492	733	754
493	734	752
494	736	751
495	737	749
496	739	748
497	740	746
498	742	745
499	743	743
500	745	742
501	746	740
502	747	738
503	749	737
504	750	735
505	752	734
506	753	733
507	755	731
508	756	730
509	758	728
510	759	727
511	761	725
512	762	723
513	763	722
514	765	720
515	766	719
516	768	717
517	769	716
518	771	714
519	772	713
520	773	711
521	775	709
522	776	707
523	777	706
524	779	705
525	781	704
526	783	703
527	784	701
528	786	700
529	787	698
530	789	697
531	790	695
532	792	693
533	793	692
534	794	690
535	796	689
536	797	687
537	799	686
538	800	684
539	802	683
540	803	681
541	804	679
542	806	678
543	808	677
544	809	675
545	811	674
546	812	672
547	814	671
548	815	670
549	817	668
550	818	666
551	819	665
552	821	663
553	822	662
